stamp,x,y,z,qw,qx,qy,qz
1642400950.265566736,0.710192,0.354277,-0.138206,0.674255,-0.736822,-0.039073,0.030773
1642400950.764200103,0.710145,0.347123,-0.127115,0.674260,-0.736820,-0.039022,0.030774
1642400951.255766320,0.709787,0.346289,-0.124988,0.674241,-0.736800,-0.039334,0.031249
1642400951.833844279,0.709452,0.348506,-0.129139,0.674219,-0.736805,-0.039374,0.031581
1642400952.232463934,0.711945,0.354274,-0.135703,0.674194,-0.736822,-0.039379,0.031699
1642400952.963276743,0.713007,0.367564,-0.158180,0.673545,-0.737340,-0.040184,0.032448
1642400953.473199661,0.713150,0.366089,-0.156644,0.673573,-0.737306,-0.040316,0.032482
1642400953.895029180,0.711352,0.365218,-0.156306,0.673596,-0.737294,-0.040248,0.032338
1642400954.358284462,0.708781,0.365743,-0.157912,0.673581,-0.737253,-0.040778,0.032910
1642400954.896216582,0.711810,0.360830,-0.142422,0.673603,-0.737231,-0.040812,0.032926
1642400955.483381210,0.710309,0.355202,-0.135469,0.673581,-0.737191,-0.041386,0.033528
1642400955.991678631,0.710757,0.351947,-0.137442,0.673587,-0.737188,-0.041335,0.033561
1642400956.602275718,0.711255,0.350656,-0.137794,0.674227,-0.736599,-0.041329,0.033646
1642400957.102025518,0.710516,0.351961,-0.145919,0.674035,-0.736720,-0.041835,0.034217
1642400957.499418979,0.710299,0.354104,-0.151653,0.674190,-0.736573,-0.041861,0.034284
1642400958.522145691,0.703657,0.352431,-0.139983,0.673661,-0.736994,-0.042444,0.034925
1642400959.690002623,0.706318,0.357290,-0.143382,0.674128,-0.736569,-0.042369,0.034971
1642400960.134610383,0.705459,0.356935,-0.142386,0.674070,-0.736556,-0.042975,0.035616
1642400960.615812504,0.706975,0.356861,-0.145996,0.674057,-0.736570,-0.042946,0.035599
1642400961.096342806,0.706901,0.355796,-0.144535,0.674038,-0.736581,-0.043016,0.035651
1642400961.597023244,0.707496,0.353697,-0.137955,0.674046,-0.736585,-0.042942,0.035501
1642400962.085727113,0.707105,0.353490,-0.139171,0.674054,-0.736572,-0.042992,0.035556
1642400962.614357617,0.713078,0.354592,-0.136471,0.673575,-0.736939,-0.043637,0.036242
1642400963.018135048,0.713680,0.355207,-0.138247,0.673990,-0.736561,-0.043600,0.036252
