stamp,x,y,z,qw,qx,qy,qz
1642401055.816088726,4.42743,1.29153,0.431424,0.999705,0.0170554,0.00448355,-0.0166809
1642401056.377177557,4.42376,1.29609,0.432546,0.998614,0.0358484,0.0162192,-0.0349613
1642401056.810078256,,,,,,,
1642401057.526367959,,,,,,,
1642401057.991366852,,,,,,,
1642401058.345200085,,,,,,,
1642401059.002043650,,,,,,,
1642401059.450005414,,,,,,,
1642401060.014290296,,,,,,,
1642401060.407528747,4.45745,1.3027,0.417885,0.997623,0.0471905,0.0264164,-0.0427033
1642401060.870639515,4.4512,1.30299,0.455841,0.99692,0.0681174,0.0220837,-0.0319837
1642401061.409104028,4.45886,1.30191,0.434703,0.996266,0.0762471,0.0238264,-0.032749
1642401061.999777766,4.46931,1.29457,0.456555,0.999556,0.0209593,0.00924102,-0.0190393
1642401062.562108985,4.48699,1.30741,0.446085,0.999509,0.0211237,0.0109565,-0.0203729
1642401063.078099453,4.46605,1.32638,0.493372,0.999578,0.021707,0.00782396,-0.0176231
1642401063.816617533,4.48126,1.29256,0.437506,0.999558,0.0223945,0.00811845,-0.0177975
1642401064.281440039,4.47971,1.29286,0.433018,0.999581,0.0221611,0.00729258,-0.0171108
1642401064.774124161,4.46954,1.29762,0.422277,0.999621,0.0220728,0.00613038,-0.0152979
1642401065.394164627,4.45699,1.2938,0.479887,0.999029,0.0310468,0.0152076,-0.0273194
1642401066.005292411,4.46578,1.29506,0.423829,0.996816,0.0678776,0.0215174,-0.035894
1642401066.627243979,,,,,,,
1642401067.780925043,,,,,,,
1642401068.213544073,,,,,,,
1642401068.542987040,,,,,,,
1642401069.013117084,,,,,,,
1642401069.515438476,,,,,,,
1642401070.184675065,,,,,,,
1642401070.618153021,,,,,,,
1642401071.238074349,,,,,,,
1642401071.614393147,,,,,,,
1642401072.159798471,,,,,,,
1642401072.584650949,4.54995,1.30917,0.305922,0.999541,0.0236389,0.00904546,-0.0166539
1642401073.079624323,4.55962,1.31222,0.368857,0.999603,0.0208977,0.00889235,-0.0166533
1642401073.553450905,4.54988,1.30869,0.343511,0.999637,0.0218167,0.00653355,-0.0144142
1642401074.071984069,4.5485,1.31205,0.382225,0.999572,0.0229203,0.00780339,-0.0164344
1642401074.657756515,4.54048,1.31132,0.302763,0.999596,0.0220767,0.00953049,-0.0151352
1642401075.115987527,4.51966,1.30994,0.400646,0.999612,0.0206728,0.00952468,-0.0160443
